ano,dp,dpto,sexo,a_defun,c_bas1,nombre_enfermedad,gru_edad,n,total
2002,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,18231
2003,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,14740
2004,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,2,47082
2004,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,2,6679
2005,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,2,41762
2006,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,35-39,2,76316
2008,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,40-44,2,75251
2009,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,33894
2009,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,2,8964
2010,08,Atlántico,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,21304
2011,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,37454
2011,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,18800
2012,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,28407
2012,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,13566
2013,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,2,99667
2013,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,2,9507
2014,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,31441
2014,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,2,21863
2015,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,2,15211
2015,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,2,9878
2016,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,2,10168
2018,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,2,51272
2018,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,2,12628
2020,08,Atlántico,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,2,34586
1985,08,Atlántico,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,83530
1985,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,1,24302
1985,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,10378
1985,08,Atlántico,Mujer,Cabecera Municipal,1943,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,13494
1985,08,Atlántico,Mujer,Cabecera Municipal,1943,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,7526
1986,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,12441
1987,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,12966
1987,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,2549
1987,08,Atlántico,Hombre,Cabecera Municipal,1949,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,78611
1987,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,8222
1988,08,Atlántico,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,13496
1988,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,1,22306
1988,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,12049
1988,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,5642
1988,08,Atlántico,Mujer,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,12049
1989,08,Atlántico,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,83190
1989,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,16017
1989,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,4517
1990,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,25-29,1,68188
1990,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,10918
1990,08,Atlántico,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,90430
1990,08,Atlántico,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,15-19,1,67832
1990,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,4395
1990,08,Atlántico,Mujer,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,88878
1991,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,5156
1991,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,3815
1991,08,Atlántico,Mujer,Cabecera Municipal,1943,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,1,24917
1992,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,8394
1992,08,Atlántico,Hombre,Cabecera Municipal,1943,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,1,30026
1992,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,1,34149
1992,08,Atlántico,Mujer,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,4211
1993,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,3108
1993,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,2675
1993,08,Atlántico,Hombre,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,30-34,1,63740
1993,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,14453
1993,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,4277
1993,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,4207
1994,08,Atlántico,Hombre,Cabecera Municipal,1949,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,89803
1994,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,14929
1994,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,11524
1994,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,4533
1994,08,Atlántico,Mujer,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,96187
1994,08,Atlántico,Mujer,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,11524
1994,08,Atlántico,Mujer,Cabecera Municipal,1943,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,18705
1994,08,Atlántico,Mujer,Cabecera Municipal,1949,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,1,28767
1995,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,20547
1995,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,16721
1995,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,13113
1995,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,6225
1995,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,4773
1996,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,40-44,1,46622
1996,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,17142
1996,08,Atlántico,Hombre,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,13516
1996,08,Atlántico,Hombre,Cabecera Municipal,1949,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,3632
1996,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,15821
1996,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,12243
1996,08,Atlántico,Mujer,Cabecera Municipal,1930,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,4320
1996,08,Atlántico,Mujer,Cabecera Municipal,1940,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,19512
1997,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,95006
1997,08,Atlántico,Hombre,Cabecera Municipal,C753,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,95006
1997,08,Atlántico,Hombre,Cabecera Municipal,C753,Tumor maligno de la tiroides y otras glándulas endocrinas,10-14,1,88793
1997,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,30-34,1,77664
1998,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,10652
1998,08,Atlántico,Hombre,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,25-29,1,71646
1998,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,13050
1998,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,10098
1998,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,5429
1998,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,1,46178
1999,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,18574
1999,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,14673
1999,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,11016
1999,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,97760
1999,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,30-34,1,70030
1999,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,27839
1999,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,10173
1999,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,6164
1999,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,4848
1999,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,98993
1999,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,30-34,1,78444
1999,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,13402
1999,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,35-39,1,73087
2000,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,4498
2000,08,Atlántico,Hombre,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,11353
2000,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,1,50374
2000,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,29241
2000,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,17479
2000,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,13728
2000,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,21888
2000,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,17479
2000,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,40-44,1,63085
2000,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,29241
2001,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,7994
2001,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,102582
2001,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,40-44,1,57167
2001,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,11680
2001,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,20-24,1,87746
2001,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,35-39,1,75803
2001,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,40-44,1,65488
2001,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,17835
2001,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,14052
2001,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,7331
2001,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,5311
2001,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,20-24,1,87746
2001,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,35-39,1,75803
2002,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,1,36882
2002,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,20714
2002,08,Atlántico,Hombre,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,25-29,1,73332
2002,08,Atlántico,Hombre,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,1,36882
2002,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,1,54584
2002,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,23873
2002,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,5568
2002,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,23873
2003,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,25-29,1,74703
2003,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,8667
2003,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,100353
2003,08,Atlántico,Hombre,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,100353
2003,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,25047
2003,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,18717
2003,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,11189
2003,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,8294
2003,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,5839
2003,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,101999
2003,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,11189
2004,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,1,50917
2004,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,22557
2004,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,104343
2004,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,35680
2004,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,19333
2004,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,8223
2005,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,104493
2005,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,102235
2005,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,23614
2005,08,Atlántico,Hombre,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,40-44,1,63773
2005,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,40-44,1,73047
2005,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,27697
2005,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,20133
2005,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,8345
2005,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,102195
2005,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,40-44,1,73047
2005,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,37556
2005,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,11650
2006,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,1,43491
2006,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,25-29,1,80800
2006,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,33444
2006,08,Atlántico,Hombre,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,1,55091
2006,08,Atlántico,Hombre,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,24754
2006,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,39513
2006,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,29154
2006,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,15757
2006,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,8007
2006,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,101689
2006,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,100700
2006,08,Atlántico,Mujer,Cabecera Municipal,C752,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,39513
2006,08,Atlántico,Mujer,Cabecera Municipal,C753,Tumor maligno de la tiroides y otras glándulas endocrinas,15-19,1,95114
2006,08,Atlántico,Mujer,Cabecera Municipal,C754,Tumor maligno de la tiroides y otras glándulas endocrinas,10-14,1,97411
2007,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,35013
2007,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,13579
2007,08,Atlántico,Hombre,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,4745
2007,08,Atlántico,Hombre,Cabecera Municipal,C750,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,35013
2007,08,Atlántico,Hombre,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,18690
2007,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,16162
2007,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,12134
2007,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,101018
2007,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,35-39,1,75774
2007,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,1,66153
2007,08,Atlántico,Mujer,Cabecera Municipal,C753,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,22087
2008,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,102916
2008,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,15-19,1,97282
2008,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,1,47220
2008,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,1,55494
2008,08,Atlántico,Mujer,Cabecera Municipal,C73X,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,23205
2008,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,9004
2008,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,8835
2009,08,Atlántico,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,38101
2009,08,Atlántico,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,65-69,1,20376
2009,08,Atlántico,Hombre,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,80-84,1,6508
2009,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,00-04,1,102270
2009,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,104570
2009,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,35-39,1,74868
2009,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,17236
2009,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,75-79,1,12640
2009,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,85 +,1,9488
2009,08,Atlántico,Mujer,Cabecera Municipal,C740,Tumor maligno de la tiroides y otras glándulas endocrinas,15-19,1,97686
2010,08,Atlántico,Hombre,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,70-74,1,14866
2010,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,1,71277
2010,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,1,60018
2010,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,60-64,1,35640
2010,08,Atlántico,Mujer,Cabecera Municipal,C749,Tumor maligno de la tiroides y otras glándulas endocrinas,05-09,1,101800
2010,08,Atlántico,Mujer,Cabecera Municipal,C751,Tumor maligno de la tiroides y otras glándulas endocrinas,50-54,1,60018
2010,08,Atlántico,Mujer,Cabecera Municipal,C759,Tumor maligno de la tiroides y otras glándulas endocrinas,30-34,1,82154
2011,08,Atlántico,Hombre,Cabecera Municipal,C759,Tumor maligno de la tiroides y otras glándulas endocrinas,15-19,1,99664
2011,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,45-49,1,72353
2011,08,Atlántico,Mujer,Cabecera Municipal,C73,Tumor maligno de la tiroides y otras glándulas endocrinas,55-59,1,49150
